iter	Passed	Remaining
768	23161	6957
769	23194	6928
770	23219	6896
771	23257	6868
772	23308	6844
773	23340	6815
774	23373	6785
775	23406	6756
776	23438	6726
777	23474	6698
778	23507	6669
779	23548	6641
780	23585	6613
781	23619	6584
782	23656	6556
783	23691	6527
784	23729	6499
785	23762	6469
786	23800	6441
787	23835	6412
788	23889	6388
789	23921	6358
790	23956	6329
791	23992	6301
792	24031	6272
793	24063	6243
794	24095	6213
795	24129	6183
796	24162	6154
797	24199	6125
798	24238	6097
799	24272	6068
800	24318	6041
801	24352	6012
802	24384	5982
803	24416	5952
804	24455	5923
805	24503	5897
806	24534	5867
807	24584	5841
808	24622	5813
809	24647	5781
810	24692	5754
811	24726	5724
812	24759	5695
813	24795	5665
814	24823	5634
815	24863	5606
816	24897	5576
817	24930	5546
818	24946	5513
819	24977	5482
820	25018	5454
821	25053	5425
822	25089	5396
823	25124	5366
824	25158	5336
825	25183	5304
826	25200	5271
827	25212	5237
828	25246	5207
829	25293	5180
830	25312	5147
831	25348	5118
832	25363	5084
833	25400	5055
834	25432	5025
835	25471	4996
836	25489	4963
837	25529	4935
838	25554	4903
839	25573	4871
840	25586	4837
841	25602	4804
842	25636	4774
843	25679	4746
844	25696	4713
845	25731	4683
846	25747	4650
847	25780	4621
848	25820	4592
849	25852	4562
850	25878	4530
851	25910	4500
852	25947	4471
853	25979	4441
854	25991	4407
855	26029	4378
856	26050	4346
857	26087	4317
858	26123	4288
859	26157	4258
860	26191	4228
861	26204	4195
862	26235	4164
863	26247	4131
864	26259	4098
865	26294	4068
866	26327	4038
867	26360	4008
868	26385	3977
869	26410	3946
870	26446	3916
871	26472	3885
872	26507	3856
873	26541	3826
874	26557	3793
875	26577	3762
876	26593	3729
877	26626	3699
878	26650	3668
879	26683	3638
880	26696	3605
881	26709	3573
882	26722	3540
883	26738	3508
884	26750	3476
885	26763	3443
886	26775	3411
887	26788	3378
888	26819	3348
889	26833	3316
890	26846	3284
891	26881	3254
892	26907	3224
893	26942	3194
894	26958	3162
895	26973	3130
896	27007	3101
897	27040	3071
898	27074	3041
899	27117	3013
900	27154	2983
901	27185	2953
902	27214	2923
903	27233	2892
904	27266	2862
905	27291	2831
906	27327	2801
907	27354	2771
908	27384	2741
909	27407	2710
910	27440	2680
