month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202507,New Jersey,NJ,577500.0,-0.0034,-0.021,17584,0.0206,0.1989,39,0.0548,0.0405,9890,-0.0114,0.0501,280,0.1667,0.1667,0.0073,0.0013,0.0006,4404.0,0.0271,0.3501,0.1063,-0.0016,0.0175,12231,-0.0536,-0.0296,309.0,-0.0073,-0.0005,1721.0,-0.0003,-0.022,857463.0,-0.0129,-0.0517,29536,-0.0142,0.0945,0.6956,-0.0546,-0.1638,0
202507,Colorado,CO,599000.0,-0.0016,-0.0362,32276,0.0399,0.3597,56,0.1327,0.2472,9836,-0.1997,-0.0281,292,-0.1934,-0.1043,0.0055,-0.0013,-0.0019,14672.0,-0.0052,0.2321,0.2841,0.0043,0.0107,9502,-0.0662,0.0193,290.0,-0.0116,-0.0274,2088.0,0.0026,-0.0297,1045184.0,0.0156,-0.0522,41610,0.0123,0.261,0.2944,-0.0334,-0.0983,0
202507,Oregon,OR,577000.0,-0.0052,0.0,16850,0.0434,0.2228,60,0.1215,0.1765,5604,-0.1102,-0.0453,1038,-0.017,0.0157,0.0358,-0.0014,-0.0039,8078.0,0.0402,0.2158,0.2838,0.01,0.0255,5940,-0.0237,-0.0069,311.0,-0.0029,-0.0071,1898.0,-0.0026,0.0026,756406.0,-0.0095,-0.0142,22717,0.0222,0.1568,0.3525,-0.0242,-0.0815,0
202507,Arizona,AZ,487450.0,-0.0202,-0.0239,29089,-0.0432,0.363,69,0.0866,0.2212,8858,-0.1034,0.0298,648,0.0983,0.102,0.0135,0.0019,-0.0014,13112.0,-0.1258,0.2728,0.2789,-0.0156,0.0166,9472,-0.0804,-0.0012,267.0,-0.0082,-0.0113,1905.0,-0.0091,-0.0099,733539.0,-0.0401,-0.0367,38510,-0.0533,0.2497,0.3256,-0.0132,-0.1187,0
202507,Montana,MT,649900.0,0.0,-0.0175,6116,0.0597,0.1494,59,0.1238,0.0631,1748,-0.1907,-0.0023,22,0.0,0.1,0.0023,0.0,0.0,2002.0,0.057,0.1414,0.2094,0.0113,0.0083,1651,-0.0511,0.0473,329.0,0.0026,-0.0068,2136.0,0.0072,-0.0101,1154428.0,0.0346,-0.0165,7749,0.0318,0.1257,0.2699,-0.0315,-0.0263,0
202507,Kansas,KS,301126.0,-0.0207,-0.0207,7619,0.0327,0.2387,51,0.0306,0.0521,3904,-0.0166,0.0495,120,0.2245,-0.1176,0.0076,0.0015,-0.0017,2818.0,0.069,0.258,0.1725,0.0145,0.0164,4768,-0.068,0.0663,153.0,-0.0162,0.0067,2039.0,-0.0078,-0.0208,404377.0,-0.0098,0.0053,12358,-0.0103,0.1652,0.6258,-0.0677,-0.1012,0
202507,North Carolina,NC,424950.0,-0.0001,0.0119,42574,0.0248,0.4073,59,0.0935,0.17,16472,-0.0521,0.1471,804,0.0126,0.2036,0.01,0.0001,-0.0001,18256.0,0.0213,0.3822,0.2268,0.0053,0.0254,21439,-0.0328,0.0249,219.0,-0.0056,-0.0027,1969.0,-0.0063,-0.0056,604141.0,-0.0104,-0.0084,63842,0.0054,0.2508,0.5036,-0.03,-0.1879,0
202507,Kentucky,KY,315000.0,0.0,0.0112,11247,0.0518,0.2662,51,0.02,0.1087,5572,0.022,0.0853,120,0.1111,0.0345,0.0053,0.0006,-0.0007,4740.0,0.0897,0.2487,0.2034,0.0131,0.0152,6440,-0.0404,0.0995,172.0,0.0028,0.0258,1834.0,0.0022,-0.0129,401716.0,0.0072,0.0188,17634,0.0134,0.1988,0.5726,-0.055,-0.0868,0
202507,Arkansas,AR,305000.0,0.0,0.0224,12652,0.0239,0.2615,61,0.0427,0.0702,4352,-0.0669,-0.0355,120,-0.0769,0.1321,0.0057,-0.0003,0.0002,4122.0,0.0383,0.2202,0.1894,0.0071,0.0141,4720,-0.0388,0.0201,161.0,0.0016,0.0406,1869.0,-0.0068,-0.0011,406603.0,-0.0062,0.0244,17218,0.0058,0.1854,0.3731,-0.0243,-0.0883,0
202507,Michigan,MI,316950.0,-0.0002,0.0565,23073,0.065,0.1815,42,0.1216,0.0641,14280,-0.0184,0.0503,264,0.0313,0.0313,0.0051,0.0001,-0.0007,9570.0,0.1409,0.2026,0.1841,0.0202,0.0187,14493,-0.0296,0.0144,188.0,-0.0015,0.0291,1646.0,-0.0002,0.004,458755.0,-0.009,0.0223,37421,0.0247,0.1097,0.6281,-0.0613,-0.1035,0
