iter	Passed	Remaining
780	27443	7695
781	27475	7659
782	27513	7625
783	27560	7593
784	27597	7558
785	27617	7519
786	27653	7484
787	27692	7450
788	27724	7414
789	27740	7374
790	27774	7338
791	27805	7302
792	27839	7267
793	27877	7232
794	27910	7197
795	27942	7161
796	27974	7125
797	28006	7089
798	28047	7055
799	28078	7019
800	28111	6984
801	28144	6948
802	28177	6912
803	28215	6878
804	28250	6843
805	28283	6807
806	28316	6772
807	28336	6733
808	28369	6697
809	28410	6664
810	28449	6630
811	28489	6596
812	28532	6562
813	28568	6528
814	28600	6492
815	28635	6456
816	28668	6421
817	28713	6388
818	28746	6353
819	28779	6317
820	28813	6282
821	28848	6246
822	28881	6211
823	28921	6177
824	28956	6142
825	28991	6107
826	29025	6071
827	29059	6036
828	29093	6001
829	29128	5966
830	29166	5931
831	29211	5898
832	29249	5863
833	29290	5830
834	29324	5794
835	29357	5759
836	29392	5724
837	29425	5688
838	29458	5652
839	29489	5617
840	29529	5582
841	29569	5548
842	29611	5514
843	29648	5479
844	29679	5444
845	29714	5409
846	29757	5375
847	29798	5341
848	29834	5306
849	29868	5270
850	29905	5236
851	29944	5201
852	29985	5167
853	30016	5131
854	30054	5096
855	30088	5061
856	30122	5026
857	30157	4991
858	30190	4955
859	30223	4920
860	30272	4887
861	30305	4851
862	30350	4818
863	30390	4783
864	30425	4748
865	30457	4712
866	30493	4677
867	30542	4644
868	30587	4611
869	30626	4576
870	30665	4541
871	30704	4507
872	30736	4471
873	30770	4435
874	30802	4400
875	30836	4365
876	30873	4329
877	30907	4294
878	30938	4258
879	30980	4224
880	31011	4188
881	31049	4153
882	31085	4118
883	31118	4083
884	31156	4048
885	31202	4014
886	31248	3980
887	31283	3945
888	31330	3911
889	31364	3876
890	31398	3841
891	31437	3806
892	31477	3771
893	31513	3736
894	31548	3701
895	31584	3666
896	31611	3629
897	31648	3594
898	31688	3560
899	31719	3524
900	31754	3489
901	31786	3453
902	31818	3417
903	31867	3384
904	31898	3348
905	31930	3312
906	31966	3277
907	32002	3242
908	32049	3208
909	32084	3173
910	32121	3138
911	32154	3102
912	32181	3066
913	32209	3030
914	32241	2995
915	32279	2960
916	32314	2924
917	32351	2889
918	32383	2854
919	32423	2819
920	32457	2784
921	32489	2748
922	32523	2713
923	32560	2678
924	32597	2643
925	32632	2607
926	32664	2572
927	32697	2536
928	32730	2501
929	32761	2465
930	32797	2430
931	32841	2396
932	32877	2360
933	32908	2325
934	32933	2289
935	32965	2254
936	33000	2218
937	33035	2183
938	33067	2148
939	33101	2112
940	33134	2077
941	33169	2042
942	33205	2007
943	33240	1971
944	33272	1936
945	33309	1901
946	33345	1866
947	33379	1830
948	33413	1795
949	33431	1759
950	33466	1724
951	33500	1689
952	33541	1654
953	33569	1618
954	33612	1583
955	33644	1548
956	33678	1513
957	33722	1478
958	33756	1443
959	33793	1408
960	33830	1372
961	33865	1337
962	33890	1302
963	33925	1266
964	33955	1231
965	33987	1196
966	34015	1160
967	34047	1125
968	34085	1090
969	34121	1055
970	34165	1020
971	34201	985
972	34240	950
973	34274	914
974	34311	879
975	34343	844
976	34379	809
977	34413	774
978	34450	738
979	34482	703
980	34522	668
981	34558	633
982	34589	598
983	34621	562
984	34657	527
985	34687	492
986	34722	457
987	34757	422
988	34791	386
989	34826	351
990	34860	316
991	34893	281
992	34929	246
993	34966	211
994	34998	175
995	35040	140
996	35094	105
997	35127	70
998	35160	35
999	35192	0
