agent_id,comprehensive_score,client_satisfaction,professional_competence,market_expertise,total_reviews,avg_rating,experience_years,transaction_volume,rank
1310227,64.23062521176894,,,,,,,,300.0
1621819,64.21150025004255,,,,,,,,301.0
3245164,64.15831919707522,,,,,,,,302.0
491104,64.12971659383533,,,,,,,,303.0
4115210,64.12096690334377,,,,,,,,304.0
4164285,64.11776722077693,,,,,,,,305.0
1209006,64.07734428633312,,,,,,,,306.0
755054,63.97694508620889,,,,,,,,307.0
4328304,63.97317708059229,,,,,,,,308.0
3240591,63.943849745691516,,,,,,,,309.0
4813309,63.924129586814985,,,,,,,,310.0
4281889,63.883397470579254,,,,,,,,311.0
2102378,63.84312524466408,,,,,,,,312.0
4697134,63.840988026049075,,,,,,,,313.0
3123397,63.8268722795153,,,,,,,,314.0
7224,63.68298115930801,,,,,,,,315.0
4446607,63.63714686600128,,,,,,,,316.0
4440998,63.617428476404555,,,,,,,,317.0
1431198,63.586605005454324,,,,,,,,318.0
280053,63.52460084709912,,,,,,,,319.0
2235279,63.523401875447604,,,,,,,,320.0
2992811,63.46905690137742,,,,,,,,321.0
4478008,63.46585775463281,,,,,,,,322.0
2293693,63.4528932461057,,,,,,,,323.0
4919692,63.44266886484853,,,,,,,,324.0
4694001,63.335570227685146,,,,,,,,325.0
4804660,63.276749966512135,,,,,,,,326.0
4829258,63.20663703424767,,,,,,,,327.0
1838125,63.20342697715948,,,,,,,,328.0
4796068,63.1841812784233,,,,,,,,329.0
1920445,63.03826871547346,,,,,,,,330.0
4851398,63.00836646981286,,,,,,,,331.0
4245304,62.91705623690002,,,,,,,,332.0
3145097,62.90079248250579,,,,,,,,333.0
3641794,62.8515017628402,,,,,,,,334.0
1510833,62.819562766123546,,,,,,,,335.0
2134240,62.78807684932277,,,,,,,,336.0
690792,62.71508818347215,,,,,,,,337.0
2142915,62.653294442068166,,,,,,,,338.0
4097725,62.652351811390886,,,,,,,,339.0
4543772,62.61433166079603,,,,,,,,340.0
100255586,62.54456842194603,,,,,,,,341.0
100025069,62.25672491727082,,,,,,,,342.0
100532108,62.00728498962052,,,,,,,,343.0
100654933,61.890910104944155,,,,,,,,344.0
1831304,61.850185478069555,,,,,,,,345.0
100636510,61.75451865318826,,,,,,,,346.0
100415690,61.712774246525505,,,,,,,,347.0
560475,61.61930980183424,,,,,,,,348.0
100272607,61.505814351367064,,,,,,,,349.0
165293,61.247739941174004,,,,,,,,350.0
2762500,61.07181516789316,,,,,,,,351.0
849653,61.021701102815165,,,,,,,,352.0
2756121,60.0581199636693,,,,,,,,353.0
846388,59.53800012983663,,,,,,,,354.0
1173949,59.306729446764884,,,,,,,,355.0
3340201,57.8248992728167,,,,,,,,356.0
3496618,56.83598464122356,,,,,,,,357.0
1879971,56.578106599329246,,,,,,,,358.0
1651195,56.239673678202266,,,,,,,,359.0
248282,55.584708537285024,,,,,,,,360.0
1013264,54.76832527650225,,,,,,,,361.0
1151771,54.55741949192543,,,,,,,,362.0
117829,54.3624889937735,,,,,,,,363.0
900047,54.207259386456286,,,,,,,,364.0
439979,53.83826901612676,,,,,,,,365.0
351674,53.66573298484799,,,,,,,,366.0
680985,52.156590531815624,,,,,,,,367.0
1961018,44.822518816341294,,,,,,,,368.0
1940909,44.505136649532574,,,,,,,,369.0
2212248,43.092677786819834,,,,,,,,370.0
3754224,42.933348377457676,,,,,,,,371.0
3469368,42.83782695065328,,,,,,,,372.0
1586816,42.35374733263756,,,,,,,,373.0
2757685,41.87104295785597,,,,,,,,374.0
3154780,41.237614552967784,,,,,,,,375.0
3148464,41.01924325329943,,,,,,,,376.0
4094464,40.96024376679971,,,,,,,,377.0
3974443,40.854068825258835,,,,,,,,378.0
3911725,40.38513807376458,,,,,,,,379.0
3707646,39.956865255269435,,,,,,,,380.0
4016533,38.89438971201443,,,,,,,,381.0
4613656,38.71360582022877,,,,,,,,382.0
4018519,38.234132250287125,,,,,,,,383.0
4056783,38.17210144970099,,,,,,,,384.0
1951785,38.13733518161144,,,,,,,,385.0
4016741,37.68890719986434,,,,,,,,386.0
4217577,37.56697670451614,,,,,,,,387.0
1856419,37.50758886782286,,,,,,,,388.0
4483278,37.08144340146984,,,,,,,,389.0
4785631,37.010429294920385,,,,,,,,390.0
1659159,36.41788947341281,,,,,,,,391.0
1911322,36.24812687236955,,,,,,,,392.0
2704920,36.13469474303488,,,,,,,,393.0
4791010,36.09022852987086,,,,,,,,394.0
